node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
2,41,0.229237,0.923282,2069.005291,1635.904662,0.106331
2,42,0.922387,0.876041,2051.983579,1570.764237,0.102097
2,43,0.164388,0.890397,2149.963037,1549.899042,0.100741
2,44,0.489345,0.799501,2121.581904,1584.097929,0.102964
2,45,0.248643,0.872759,2079.069535,1599.507277,0.103965
2,46,0.762770,0.750704,2231.411939,1527.985214,0.099317
2,47,0.578411,0.861388,2062.189117,1512.455662,0.098307
2,48,0.307406,0.807530,2120.683112,1462.353336,0.095051
2,49,0.136043,0.925164,2417.094685,1666.358934,0.108311
2,50,0.224972,0.773654,2196.377402,1495.777471,0.097223
2,51,0.314142,0.732102,2333.165853,1611.649103,0.104755
2,52,0.134171,0.907731,2490.935188,1632.825064,0.106131
2,53,0.926539,0.713770,2511.393342,1882.189135,0.122339
2,54,0.130953,0.731199,2917.631164,1597.318743,0.103823
2,55,0.141069,0.711056,2786.317518,1786.859948,0.116143
2,56,0.127409,0.709746,3693.212240,1838.257587,0.119484
2,57,0.306995,0.726834,2371.253894,1636.723074,0.106384
2,58,0.131968,0.707197,3293.315114,1991.014844,0.129413
2,59,0.200149,0.783984,2189.576334,1591.724696,0.103460
2,60,0.183252,0.796788,2185.453060,1508.565880,0.098054
2,61,0.546454,0.842109,2075.410371,1622.818636,0.105481
2,62,0.144415,0.885868,2267.242001,1590.720627,0.103394
2,63,0.362510,0.763974,2197.363799,1531.363697,0.099536
2,64,0.137041,0.707889,2971.055349,1867.700091,0.121397
2,65,0.124395,0.709735,10326.280553,2413.278927,0.156859
2,66,0.129695,0.849327,10113.684796,8261.982576,0.537015
3,4,0.885391,0.032356,223.509742,33.606415,0.002184
3,5,0.402497,0.858970,3231.459559,2913.690155,0.189385
3,6,0.122684,0.709211,3276.984654,332.566085,0.021616
3,7,0.876556,0.627361,659.284044,440.004148,0.028600
3,8,0.126485,0.726577,1498.273920,706.737513,0.045937
3,9,0.964281,0.696999,648.438112,426.468636,0.027720
3,10,0.125107,0.715324,1892.699066,674.527428,0.043843
3,11,0.745212,0.799907,1660.337367,1472.687207,0.095722
3,12,0.891892,0.706245,634.868874,426.541756,0.027725
3,13,0.127209,0.794447,1159.195148,349.644483,0.022726
3,14,0.185873,0.740572,604.024272,368.994533,0.023984
3,15,0.337839,0.749050,1122.571702,1040.182724,0.067610
3,16,0.126602,0.746338,1405.467922,363.920404,0.023654
3,17,1.017617,0.769728,1271.977259,932.117617,0.060586
3,18,0.130436,0.782544,957.391474,366.423500,0.023817
3,19,0.929932,0.736168,991.618400,861.390585,0.055989
3,20,0.861687,0.717444,611.720681,398.472575,0.025900
3,21,0.250251,0.719445,867.006536,633.081388,0.041149
3,22,0.127536,0.789229,1831.637328,1193.636816,0.077584
3,23,0.126084,0.754382,1865.010682,890.290753,0.057867
3,24,0.169282,0.740243,633.287456,380.695840,0.024745
3,25,0.129344,0.735806,1055.024306,373.314252,0.024265
3,26,0.232389,0.741004,1037.230514,829.029814,0.053886
3,27,0.436614,0.709765,760.310411,534.413341,0.034736
3,28,0.137756,0.709099,838.265432,430.681534,0.027994
3,29,0.126867,0.707288,1441.531520,556.138901,0.036148
3,30,0.703121,0.713587,628.723111,410.373145,0.026674
3,31,0.176385,0.742421,1065.258291,826.016487,0.053690
3,32,0.138134,0.721691,1012.801531,745.221352,0.048438
3,33,0.125154,0.727023,2230.817262,389.753281,0.025333
3,34,0.169648,0.854116,2472.839237,2809.844723,0.182635
3,35,0.128053,0.748610,1176.666469,368.011912,0.023920
3,36,0.149394,0.859089,645.342599,377.748506,0.024553
3,37,0.146257,0.713199,891.000871,590.709838,0.038395
3,38,0.132989,0.713640,912.668962,414.485046,0.026941
3,39,0.274284,0.710499,655.679078,429.114176,0.027892
3,40,0.157695,0.762175,640.358772,356.668905,0.023183
3,41,0.150077,0.778793,659.033167,349.386877,0.022710
3,42,0.619625,0.722255,603.470452,408.780235,0.026570
3,43,0.133012,0.734413,880.836603,406.815164,0.026442
3,44,0.248647,0.713314,809.097885,569.752750,0.037033
3,45,0.155844,0.720026,689.969714,399.428281,0.025962
3,46,0.420126,0.745550,1064.297031,1076.829673,0.069992
3,47,0.293844,0.713765,637.302236,492.192746,0.031992
3,48,0.174947,0.710599,806.739728,765.080453,0.049729
3,49,0.126686,0.782111,1412.754552,357.590406,0.023243
3,50,0.148850,0.726962,988.738417,875.298476,0.056893
3,51,0.177286,0.766448,1263.801404,1384.518778,0.089991
3,52,0.126288,0.754731,1535.671536,359.595714,0.023373
3,53,0.627595,0.798334,1568.639035,1921.396121,0.124888
3,54,0.125606,0.767655,2160.116042,1208.475258,0.078549
3,55,0.127763,0.806013,1979.164917,1322.237776,0.085943
3,56,0.124846,0.810651,3129.432025,1700.745532,0.110546
3,57,0.174805,0.773845,1332.806355,1095.345373,0.071196
3,58,0.125821,0.834600,2645.647820,1779.790615,0.115683
3,59,0.141987,0.720619,973.535911,623.374312,0.040518
3,60,0.137607,0.714398,964.226454,684.755154,0.044508
3,61,0.276785,0.707962,678.863565,442.492480,0.028761
3,62,0.128488,0.730145,1137.503408,386.219567,0.025104
3,63,0.194952,0.734008,990.926559,840.219484,0.054613
3,64,0.126899,0.820001,2231.747636,1501.022184,0.097564
3,65,0.124150,0.850325,10138.323241,2568.235180,0.166931
