node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
3,20,0.310425,0.766947,111.468412,89.346798,0.321001
3,21,0.181399,0.808787,116.740157,95.218365,0.342096
3,22,0.318140,0.737270,116.677252,88.622171,0.318397
3,23,0.422669,0.786101,108.033328,88.886263,0.319346
3,24,0.670904,0.732097,113.565181,80.789084,0.290255
3,25,0.659870,0.897429,103.601260,110.083695,0.395503
3,26,0.253340,0.734023,113.251577,78.759368,0.282963
3,27,0.148604,0.940877,197.355210,116.620890,0.418989
3,28,0.890704,0.696199,135.069887,109.750989,0.394308
3,29,1.044145,0.703204,124.763778,108.569745,0.390064
3,30,1.033045,0.697517,150.753337,114.293443,0.410628
3,31,0.219267,0.864917,109.166818,105.788144,0.380070
3,32,0.209388,0.840897,110.584826,102.678209,0.368897
3,33,0.260798,0.782726,111.460824,104.962111,0.377102
3,34,0.224832,0.815800,110.663924,108.982054,0.391545
3,35,0.263149,0.876287,106.681989,114.035519,0.409701
3,36,0.222480,0.809841,110.640645,93.764006,0.336870
3,37,0.211516,0.770799,115.163295,90.423357,0.324868
3,38,0.271655,0.751020,115.264798,88.649177,0.318494
3,39,0.183086,0.981451,113.385825,123.293226,0.442962
3,40,0.278592,0.858719,106.977277,106.277997,0.381830
3,41,0.271479,0.922213,105.975388,116.268485,0.417723
3,42,0.328582,0.757478,113.348799,93.406522,0.335586
3,43,0.575404,0.701973,145.610307,101.010356,0.362905
3,44,0.149839,0.879406,193.396504,116.381134,0.418128
3,45,0.154084,0.735182,153.759156,86.220688,0.309769
3,46,0.195551,0.709546,164.346796,113.996415,0.409560
3,47,0.627324,0.705049,156.008634,109.135834,0.392098
3,48,0.162261,0.971142,126.677750,122.116780,0.438735
4,5,0.199943,0.526205,62.228357,22.131076,0.079511
4,6,0.259286,0.542258,64.733158,26.499423,0.095206
4,7,0.439442,0.655596,64.800832,21.393837,0.076863
4,8,0.520824,0.569424,66.824562,23.522045,0.084509
4,9,0.546944,0.627165,68.438414,21.279604,0.076452
4,10,0.750258,0.670209,78.724732,36.236253,0.130188
4,11,0.323387,0.705402,88.767741,35.045130,0.125908
4,12,0.311895,0.705594,89.940130,39.097863,0.140469
4,13,0.363611,0.711820,79.055043,25.082872,0.090116
4,14,0.317442,0.689234,86.283512,43.474428,0.156193
4,15,0.344026,0.737651,80.711834,23.499792,0.084429
4,16,0.340895,0.717671,82.139929,25.524820,0.091704
4,17,0.363297,0.716241,81.322803,25.755993,0.092535
4,18,0.258336,0.715566,89.053520,26.267624,0.094373
4,19,0.412111,0.708127,85.711605,46.613315,0.167470
4,20,0.526178,0.710784,84.896680,44.193177,0.158775
4,21,0.255457,0.705278,91.588780,32.105392,0.115347
4,22,0.538053,0.731156,91.597145,55.230345,0.198429
4,23,0.687488,0.700880,80.739942,39.965163,0.143585
4,24,0.896454,0.721783,88.763974,66.206054,0.237862
4,25,0.889993,0.766390,74.304279,23.798789,0.085503
4,26,0.426128,0.709352,89.076261,65.309155,0.234639
4,27,0.156777,0.841801,183.257980,27.784611,0.099823
4,28,0.986478,0.786101,115.805524,69.201509,0.248624
4,29,1.018132,0.761122,103.199622,56.347257,0.202442
4,30,1.017407,0.813663,134.190962,87.473992,0.314272
4,31,0.347940,0.733159,81.503137,24.304631,0.087320
4,32,0.325933,0.716354,83.483310,25.923584,0.093137
4,33,0.434709,0.708996,84.559057,32.472343,0.116665
4,34,0.360131,0.708269,83.500216,28.529350,0.102499
4,35,0.441704,0.743343,78.185768,26.817799,0.096350
4,36,0.357195,0.705675,83.605999,33.092741,0.118894
4,37,0.329964,0.712636,89.387518,43.062829,0.154714
4,38,0.455486,0.723198,89.511336,50.674231,0.182060
4,39,0.259177,0.942926,87.055984,32.515534,0.116820
4,40,0.468453,0.728264,78.539690,24.731929,0.088856
4,41,0.455173,0.806860,77.167112,27.117796,0.097427
4,42,0.554125,0.719214,87.020696,43.599585,0.156642
