beta1	beta2	beta3	dist	lmax
1.737954475502872e+01	1.737962373661444e+01	1.737959977758747e+01	0.000060012639867	-8.689799113268208
1.737984699839108e+01	1.737928323936545e+01	1.738093258306077e+01	0.001392007543584	-8.689799836538231
1.738013824306660e+01	1.737894406892436e+01	1.738226538853407e+01	0.002797388182168	-8.689799378895394
1.738041289854858e+01	1.737861530286253e+01	1.738359819400737e+01	0.004197343213078	-8.689799700023489
1.738069753871505e+01	1.737828076630086e+01	1.738493099948067e+01	0.005600606854794	-8.689799761942504
1.738096552075410e+01	1.737795494696392e+01	1.738626380495397e+01	0.006998570062436	-8.689800074788277
1.738125131614294e+01	1.737761844132719e+01	1.738759661042727e+01	0.008402535834151	-8.689799776562488
1.738152983806652e+01	1.737728553250494e+01	1.738892941590057e+01	0.009804234534531	-8.689799544388112
1.738180082003750e+01	1.737695956148042e+01	1.739026222137387e+01	0.011202813774090	-8.689800363696854
1.738208266877993e+01	1.737662636462683e+01	1.739159502684717e+01	0.012605234551981	-8.689800607820731
1.738236736660419e+01	1.737629116525718e+01	1.739292783232047e+01	0.014008693996353	-8.689800695153604
1.738265423224697e+01	1.737595308802349e+01	1.739426063779377e+01	0.015413268959947	-8.689800256726453
1.738292248640658e+01	1.737562827117733e+01	1.739559344326707e+01	0.016811026111848	-8.689801174221694
1.738321163090353e+01	1.737528782235521e+01	1.739692624874037e+01	0.018216614529438	-8.689800418638789
1.738349445439509e+01	1.737495667610510e+01	1.739825905421367e+01	0.019618753860136	-8.689801619422155
1.738377257832376e+01	1.737462424036285e+01	1.739959185968697e+01	0.021020266014769	-8.689801767989206
1.738405721033224e+01	1.737428923969324e+01	1.740092466516027e+01	0.022423678319867	-8.689802127561329
1.738433321950478e+01	1.737395834604088e+01	1.740225747063357e+01	0.023824405059744	-8.689802510628601
1.738462111522904e+01	1.737362147430285e+01	1.740359027610687e+01	0.025228911214775	-8.689802852062193
1.738489128726733e+01	1.737329285858788e+01	1.740492308158017e+01	0.026627936966019	-8.689803145970181
1.738517527586773e+01	1.737295469688589e+01	1.740625588705347e+01	0.028031971933263	-8.689802589447797
1.738546607411060e+01	1.737261818591571e+01	1.740758869252677e+01	0.029436973632629	-8.689803580694246
1.738574672817627e+01	1.737228534784034e+01	1.740892149800007e+01	0.030839085135940	-8.689804237993084
1.738602860771979e+01	1.737195068502485e+01	1.741025430347337e+01	0.032241873878410	-8.689804553872051
1.738631511631123e+01	1.737161284388964e+01	1.741158710894667e+01	0.033646340834508	-8.689804615687564
1.738658907704216e+01	1.737128333176812e+01	1.741291991441997e+01	0.035046327859997	-8.689805416043592
1.738688328217192e+01	1.737094217669555e+01	1.741425271989327e+01	0.036453119244928	-8.689805671899482
1.738716704867093e+01	1.737060776909472e+01	1.741558552536657e+01	0.037856226061317	-8.689806492752185
1.738743373734615e+01	1.737028038307108e+01	1.741691833083987e+01	0.039254253992469	-8.689806983343903
1.738772547750294e+01	1.736993905391363e+01	1.741825113631317e+01	0.040660596556883	-8.689806933865285
1.738801629170314e+01	1.736960187648654e+01	1.741958394178647e+01	0.042065771394048	-8.689808056997304
1.738828692835379e+01	1.736927008579354e+01	1.742091674725977e+01	0.043465631295272	-8.689807892085703
1.738857715434133e+01	1.736893373113747e+01	1.742224955273307e+01	0.044870493202381	-8.689809254948942
1.738887117841417e+01	1.736859296330596e+01	1.742358235820637e+01	0.046277167499920	-8.689809863236150
1.738914387877921e+01	1.736826223607201e+01	1.742491516367967e+01	0.047677184604994	-8.689810440264631
1.738943693609797e+01	1.736792187163515e+01	1.742624796915297e+01	0.049083571093839	-8.689811104200370
1.738972469504726e+01	1.736758384351537e+01	1.742758077462627e+01	0.050488342238882	-8.689811739903631
1.739000924470563e+01	1.736724377664527e+01	1.742891358009957e+01	0.051892956007254	-8.689811315569948
1.739029028719369e+01	1.736691263497665e+01	1.743024638557287e+01	0.053294741613928	-8.689813144833938
1.739058209749358e+01	1.736657241603858e+01	1.743157919104617e+01	0.054700849380578	-8.689813819025865
1.739086409354303e+01	1.736623664702281e+01	1.743291199651947e+01	0.056103928203729	-8.689814446688480
1.739115788621517e+01	1.736589585202120e+01	1.743424480199277e+01	0.057510574186251	-8.689815311570744
1.739142729858894e+01	1.736556658014425e+01	1.743557760746607e+01	0.058909577501786	-8.689816148860594
1.739171610278584e+01	1.736522227548267e+01	1.743691041293937e+01	0.060316057791648	-8.689815279211690
1.739201526262771e+01	1.736488345448900e+01	1.743824321841267e+01	0.061723314769564	-8.689817651799178
1.739229470379964e+01	1.736454933964460e+01	1.743957602388597e+01	0.063125485771309	-8.689818596924560
1.739258359532590e+01	1.736421018315356e+01	1.744090882935927e+01	0.064530759867395	-8.689819428821224
1.739286511473762e+01	1.736387385678836e+01	1.744224163483257e+01	0.065933876223105	-8.689820078419800
1.739316787434248e+01	1.736352847749480e+01	1.744357444030587e+01	0.067343428826843	-8.689821124084622
1.739345561042878e+01	1.736318937892091e+01	1.744490724577917e+01	0.068748459544433	-8.689821916371901
1.739372719100195e+01	1.736285857690683e+01	1.744624005125247e+01	0.070148255032896	-8.689822905487340
1.739402161311805e+01	1.736251525268219e+01	1.744757285672577e+01	0.071555641418779	-8.689823464925647
1.739430980788196e+01	1.736217642327130e+01	1.744890566219907e+01	0.072960701125259	-8.689824520247353
1.739460662084211e+01	1.736183122918751e+01	1.745023846767237e+01	0.074369020389022	-8.689824935198679
