beta1	beta2	beta3	lmax
1.714618e+01	1.492228e+01	2.399084e+01	-9.410268
1.714623e+01	1.492227e+01	2.399078e+01	-9.410264
1.714629e+01	1.492227e+01	2.399073e+01	-9.410265
1.714635e+01	1.492226e+01	2.399069e+01	-9.410267
1.714641e+01	1.492223e+01	2.399062e+01	-9.410267
1.714646e+01	1.492223e+01	2.399057e+01	-9.410263
1.714652e+01	1.492222e+01	2.399052e+01	-9.410263
1.714658e+01	1.492221e+01	2.399046e+01	-9.410264
1.714663e+01	1.492219e+01	2.399040e+01	-9.410263
1.714669e+01	1.492217e+01	2.399035e+01	-9.410261
1.714675e+01	1.492217e+01	2.399032e+01	-9.410263
1.714680e+01	1.492216e+01	2.399024e+01	-9.410264
1.714686e+01	1.492214e+01	2.399018e+01	-9.410265
1.714692e+01	1.492212e+01	2.399014e+01	-9.410264
1.714698e+01	1.492213e+01	2.399010e+01	-9.410261
1.714703e+01	1.492210e+01	2.399004e+01	-9.410263
1.714709e+01	1.492209e+01	2.398999e+01	-9.410263
1.714715e+01	1.492209e+01	2.398993e+01	-9.410263
1.714720e+01	1.492207e+01	2.398988e+01	-9.410267
1.714726e+01	1.492206e+01	2.398983e+01	-9.410263
1.714732e+01	1.492204e+01	2.398978e+01	-9.410262
1.714738e+01	1.492203e+01	2.398971e+01	-9.410257
1.714743e+01	1.492203e+01	2.398968e+01	-9.410263
1.714749e+01	1.492201e+01	2.398961e+01	-9.410259
1.714755e+01	1.492200e+01	2.398956e+01	-9.410260
1.714760e+01	1.492199e+01	2.398949e+01	-9.410259
1.714766e+01	1.492197e+01	2.398945e+01	-9.410262
1.714772e+01	1.492194e+01	2.398940e+01	-9.410258
1.714777e+01	1.492194e+01	2.398932e+01	-9.410261
1.714783e+01	1.492194e+01	2.398930e+01	-9.410261
1.714789e+01	1.492192e+01	2.398922e+01	-9.410259
1.714795e+01	1.492191e+01	2.398916e+01	-9.410258
1.714800e+01	1.492189e+01	2.398912e+01	-9.410259
1.714806e+01	1.492188e+01	2.398907e+01	-9.410257
1.714812e+01	1.492187e+01	2.398901e+01	-9.410255
1.714817e+01	1.492186e+01	2.398896e+01	-9.410257
1.714823e+01	1.492185e+01	2.398891e+01	-9.410259
1.714829e+01	1.492185e+01	2.398887e+01	-9.410257
1.714835e+01	1.492183e+01	2.398880e+01	-9.410261
1.714840e+01	1.492181e+01	2.398877e+01	-9.410259
1.714846e+01	1.492179e+01	2.398870e+01	-9.410255
1.714852e+01	1.492177e+01	2.398865e+01	-9.410255
1.714857e+01	1.492177e+01	2.398860e+01	-9.410255
1.714863e+01	1.492176e+01	2.398853e+01	-9.410255
1.714869e+01	1.492175e+01	2.398848e+01	-9.410257
1.714874e+01	1.492173e+01	2.398844e+01	-9.410255
1.714880e+01	1.492172e+01	2.398838e+01	-9.410254
1.714886e+01	1.492172e+01	2.398831e+01	-9.410254
1.714892e+01	1.492170e+01	2.398827e+01	-9.410254
1.714897e+01	1.492170e+01	2.398820e+01	-9.410255
1.714903e+01	1.492168e+01	2.398816e+01	-9.410259
1.714909e+01	1.492166e+01	2.398811e+01	-9.410254
1.714914e+01	1.492165e+01	2.398805e+01	-9.410255
1.714920e+01	1.492165e+01	2.398801e+01	-9.410255
1.714926e+01	1.492163e+01	2.398795e+01	-9.410252
1.714932e+01	1.492162e+01	2.398787e+01	-9.410252
1.714937e+01	1.492160e+01	2.398785e+01	-9.410255
1.714943e+01	1.492161e+01	2.398780e+01	-9.410253
1.714949e+01	1.492157e+01	2.398773e+01	-9.410252
1.714954e+01	1.492155e+01	2.398769e+01	-9.410253
1.714960e+01	1.492155e+01	2.398763e+01	-9.410249
1.714966e+01	1.492155e+01	2.398756e+01	-9.410250
1.714971e+01	1.492153e+01	2.398753e+01	-9.410253
1.714977e+01	1.492151e+01	2.398747e+01	-9.410255
1.714983e+01	1.492151e+01	2.398743e+01	-9.410254
1.714989e+01	1.492150e+01	2.398736e+01	-9.410251
1.714994e+01	1.492147e+01	2.398731e+01	-9.410254
1.715000e+01	1.492146e+01	2.398725e+01	-9.410250
1.715006e+01	1.492146e+01	2.398721e+01	-9.410251
1.715011e+01	1.492145e+01	2.398715e+01	-9.410252
1.715017e+01	1.492142e+01	2.398710e+01	-9.410248
1.715023e+01	1.492141e+01	2.398704e+01	-9.410251
1.715029e+01	1.492141e+01	2.398699e+01	-9.410252
1.715034e+01	1.492141e+01	2.398694e+01	-9.410252
1.715040e+01	1.492139e+01	2.398687e+01	-9.410248
1.715046e+01	1.492137e+01	2.398684e+01	-9.410250
1.715051e+01	1.492136e+01	2.398676e+01	-9.410251
1.715057e+01	1.492134e+01	2.398673e+01	-9.410250
1.715063e+01	1.492134e+01	2.398668e+01	-9.410246
1.715068e+01	1.492131e+01	2.398661e+01	-9.410247
1.715074e+01	1.492131e+01	2.398656e+01	-9.410250
1.715080e+01	1.492130e+01	2.398651e+01	-9.410248
1.715086e+01	1.492128e+01	2.398645e+01	-9.410246
1.715091e+01	1.492127e+01	2.398640e+01	-9.410244
1.715097e+01	1.492126e+01	2.398635e+01	-9.410246
1.715103e+01	1.492124e+01	2.398629e+01	-9.410248
1.715108e+01	1.492124e+01	2.398624e+01	-9.410248
1.715114e+01	1.492124e+01	2.398617e+01	-9.410248
1.715120e+01	1.492122e+01	2.398614e+01	-9.410248
1.715126e+01	1.492120e+01	2.398609e+01	-9.410250
1.715131e+01	1.492119e+01	2.398603e+01	-9.410247
1.715137e+01	1.492119e+01	2.398599e+01	-9.410247
1.715143e+01	1.492115e+01	2.398594e+01	-9.410246
1.715148e+01	1.492115e+01	2.398586e+01	-9.410245
1.715154e+01	1.492113e+01	2.398583e+01	-9.410245
1.715160e+01	1.492113e+01	2.398577e+01	-9.410245
1.715165e+01	1.492112e+01	2.398572e+01	-9.410244
1.715171e+01	1.492111e+01	2.398566e+01	-9.410243
1.715177e+01	1.492109e+01	2.398562e+01	-9.410245
1.715183e+01	1.492107e+01	2.398554e+01	-9.410241
1.715188e+01	1.492108e+01	2.398550e+01	-9.410248
1.715194e+01	1.492105e+01	2.398545e+01	-9.410244
1.715200e+01	1.492103e+01	2.398540e+01	-9.410242
1.715205e+01	1.492102e+01	2.398534e+01	-9.410242
1.715211e+01	1.492102e+01	2.398528e+01	-9.410244
1.715217e+01	1.492100e+01	2.398523e+01	-9.410244
1.715223e+01	1.492099e+01	2.398517e+01	-9.410239
1.715228e+01	1.492098e+01	2.398513e+01	-9.410244
1.715234e+01	1.492098e+01	2.398507e+01	-9.410240
1.715240e+01	1.492097e+01	2.398500e+01	-9.410239
1.715245e+01	1.492094e+01	2.398498e+01	-9.410243
1.715251e+01	1.492092e+01	2.398490e+01	-9.410242
1.715257e+01	1.492092e+01	2.398484e+01	-9.410241
1.715262e+01	1.492091e+01	2.398482e+01	-9.410240
1.715268e+01	1.492089e+01	2.398475e+01	-9.410241
1.715274e+01	1.492088e+01	2.398470e+01	-9.410240
1.715280e+01	1.492087e+01	2.398465e+01	-9.410240
1.715285e+01	1.492085e+01	2.398458e+01	-9.410238
1.715291e+01	1.492086e+01	2.398453e+01	-9.410238
1.715297e+01	1.492085e+01	2.398448e+01	-9.410238
1.715302e+01	1.492082e+01	2.398445e+01	-9.410236
1.715308e+01	1.492081e+01	2.398437e+01	-9.410238
1.715314e+01	1.492079e+01	2.398432e+01	-9.410235
1.715320e+01	1.492078e+01	2.398425e+01	-9.410236
1.715325e+01	1.492079e+01	2.398423e+01	-9.410240
1.715331e+01	1.492075e+01	2.398415e+01	-9.410236
1.715337e+01	1.492075e+01	2.398412e+01	-9.410237
1.715342e+01	1.492074e+01	2.398405e+01	-9.410236
1.715348e+01	1.492071e+01	2.398400e+01	-9.410233
1.715354e+01	1.492070e+01	2.398394e+01	-9.410237
1.715359e+01	1.492070e+01	2.398389e+01	-9.410241
1.715365e+01	1.492068e+01	2.398384e+01	-9.410237
1.715371e+01	1.492067e+01	2.398380e+01	-9.410236
1.715377e+01	1.492066e+01	2.398373e+01	-9.410236
1.715382e+01	1.492066e+01	2.398368e+01	-9.410236
1.715388e+01	1.492063e+01	2.398361e+01	-9.410233
1.715394e+01	1.492063e+01	2.398357e+01	-9.410234
1.715399e+01	1.492062e+01	2.398354e+01	-9.410236
1.715405e+01	1.492060e+01	2.398347e+01	-9.410235
1.715411e+01	1.492058e+01	2.398342e+01	-9.410239
1.715417e+01	1.492057e+01	2.398336e+01	-9.410234
1.715422e+01	1.492056e+01	2.398332e+01	-9.410232
1.715428e+01	1.492055e+01	2.398324e+01	-9.410230
1.715434e+01	1.492054e+01	2.398321e+01	-9.410233
1.715439e+01	1.492053e+01	2.398315e+01	-9.410235
1.715445e+01	1.492052e+01	2.398312e+01	-9.410233
1.715451e+01	1.492050e+01	2.398304e+01	-9.410233
1.715456e+01	1.492048e+01	2.398300e+01	-9.410234
1.715462e+01	1.492048e+01	2.398295e+01	-9.410235
1.715468e+01	1.492046e+01	2.398289e+01	-9.410233
1.715474e+01	1.492045e+01	2.398283e+01	-9.410233
1.715479e+01	1.492044e+01	2.398276e+01	-9.410231
1.715485e+01	1.492043e+01	2.398272e+01	-9.410233
1.715491e+01	1.492042e+01	2.398265e+01	-9.410231
1.715496e+01	1.492041e+01	2.398263e+01	-9.410232
1.715502e+01	1.492039e+01	2.398256e+01	-9.410231
1.715508e+01	1.492038e+01	2.398251e+01	-9.410228
1.715514e+01	1.492036e+01	2.398245e+01	-9.410229
1.715519e+01	1.492035e+01	2.398240e+01	-9.410228
1.715525e+01	1.492034e+01	2.398235e+01	-9.410229
1.715531e+01	1.492033e+01	2.398230e+01	-9.410229
1.715536e+01	1.492031e+01	2.398223e+01	-9.410223
1.715542e+01	1.492031e+01	2.398218e+01	-9.410231
1.715548e+01	1.492029e+01	2.398213e+01	-9.410226
1.715553e+01	1.492028e+01	2.398208e+01	-9.410229
1.715559e+01	1.492027e+01	2.398203e+01	-9.410231
1.715565e+01	1.492027e+01	2.398198e+01	-9.410231
1.715571e+01	1.492026e+01	2.398194e+01	-9.410233
1.715576e+01	1.492024e+01	2.398188e+01	-9.410228
1.715582e+01	1.492021e+01	2.398183e+01	-9.410229
1.715588e+01	1.492021e+01	2.398175e+01	-9.410226
1.715593e+01	1.492020e+01	2.398171e+01	-9.410228
1.715599e+01	1.492019e+01	2.398166e+01	-9.410228
1.715605e+01	1.492017e+01	2.398161e+01	-9.410223
1.715610e+01	1.492016e+01	2.398154e+01	-9.410227
1.715616e+01	1.492015e+01	2.398150e+01	-9.410227
1.715622e+01	1.492013e+01	2.398143e+01	-9.410227
1.715628e+01	1.492013e+01	2.398141e+01	-9.410229
1.715633e+01	1.492012e+01	2.398132e+01	-9.410227
1.715639e+01	1.492010e+01	2.398129e+01	-9.410221
1.715645e+01	1.492008e+01	2.398122e+01	-9.410221
1.715650e+01	1.492006e+01	2.398117e+01	-9.410222
1.715656e+01	1.492006e+01	2.398113e+01	-9.410224
1.715662e+01	1.492005e+01	2.398107e+01	-9.410225
1.715668e+01	1.492003e+01	2.398103e+01	-9.410225
1.715673e+01	1.492004e+01	2.398098e+01	-9.410225
1.715679e+01	1.492001e+01	2.398090e+01	-9.410223
1.715685e+01	1.492000e+01	2.398087e+01	-9.410223
1.715690e+01	1.491999e+01	2.398080e+01	-9.410223
1.715696e+01	1.491997e+01	2.398076e+01	-9.410225
1.715702e+01	1.491995e+01	2.398069e+01	-9.410221
1.715707e+01	1.491995e+01	2.398067e+01	-9.410227
1.715713e+01	1.491995e+01	2.398060e+01	-9.410223
1.715719e+01	1.491992e+01	2.398055e+01	-9.410223
1.715725e+01	1.491991e+01	2.398049e+01	-9.410221
1.715730e+01	1.491990e+01	2.398043e+01	-9.410221
1.715736e+01	1.491989e+01	2.398039e+01	-9.410222
1.715742e+01	1.491990e+01	2.398034e+01	-9.410221
1.715747e+01	1.491986e+01	2.398028e+01	-9.410217
1.715753e+01	1.491985e+01	2.398023e+01	-9.410219
1.715759e+01	1.491983e+01	2.398018e+01	-9.410221
1.715765e+01	1.491983e+01	2.398012e+01	-9.410217
1.715770e+01	1.491983e+01	2.398007e+01	-9.410219
1.715776e+01	1.491981e+01	2.398002e+01	-9.410217
1.715782e+01	1.491980e+01	2.397997e+01	-9.410221
1.715787e+01	1.491978e+01	2.397990e+01	-9.410221
1.715793e+01	1.491977e+01	2.397984e+01	-9.410217
1.715799e+01	1.491976e+01	2.397979e+01	-9.410217
1.715804e+01	1.491975e+01	2.397974e+01	-9.410215
1.715810e+01	1.491974e+01	2.397969e+01	-9.410217
1.715816e+01	1.491972e+01	2.397963e+01	-9.410213
1.715822e+01	1.491969e+01	2.397956e+01	-9.410217
1.715827e+01	1.491969e+01	2.397953e+01	-9.410219
1.715833e+01	1.491969e+01	2.397949e+01	-9.410215
1.715839e+01	1.491967e+01	2.397943e+01	-9.410218
1.715844e+01	1.491966e+01	2.397940e+01	-9.410216
1.715850e+01	1.491964e+01	2.397932e+01	-9.410214
1.715856e+01	1.491965e+01	2.397926e+01	-9.410215
1.715862e+01	1.491962e+01	2.397922e+01	-9.410216
1.715867e+01	1.491962e+01	2.397915e+01	-9.410218
1.715873e+01	1.491960e+01	2.397908e+01	-9.410216
1.715879e+01	1.491958e+01	2.397905e+01	-9.410217
1.715884e+01	1.491958e+01	2.397899e+01	-9.410216
1.715890e+01	1.491956e+01	2.397893e+01	-9.410213
1.715896e+01	1.491954e+01	2.397889e+01	-9.410214
1.715901e+01	1.491953e+01	2.397884e+01	-9.410212
1.715907e+01	1.491952e+01	2.397879e+01	-9.410217
1.715913e+01	1.491951e+01	2.397873e+01	-9.410214
1.715919e+01	1.491950e+01	2.397867e+01	-9.410213
1.715924e+01	1.491948e+01	2.397863e+01	-9.410213
1.715930e+01	1.491947e+01	2.397857e+01	-9.410213
1.715936e+01	1.491946e+01	2.397852e+01	-9.410213
1.715941e+01	1.491945e+01	2.397847e+01	-9.410213
1.715947e+01	1.491943e+01	2.397842e+01	-9.410213
1.715953e+01	1.491943e+01	2.397834e+01	-9.410213
1.715959e+01	1.491941e+01	2.397831e+01	-9.410210
1.715964e+01	1.491941e+01	2.397824e+01	-9.410213
1.715970e+01	1.491940e+01	2.397820e+01	-9.410210
1.715976e+01	1.491939e+01	2.397813e+01	-9.410209
1.715981e+01	1.491936e+01	2.397809e+01	-9.410210
1.715987e+01	1.491935e+01	2.397803e+01	-9.410208
1.715993e+01	1.491933e+01	2.397799e+01	-9.410211
1.715998e+01	1.491932e+01	2.397795e+01	-9.410208
1.716004e+01	1.491932e+01	2.397788e+01	-9.410211
1.716010e+01	1.491931e+01	2.397782e+01	-9.410209
1.716016e+01	1.491929e+01	2.397777e+01	-9.410208
1.716021e+01	1.491928e+01	2.397773e+01	-9.410209
1.716027e+01	1.491926e+01	2.397767e+01	-9.410205
1.716033e+01	1.491926e+01	2.397763e+01	-9.410209
1.716038e+01	1.491925e+01	2.397756e+01	-9.410207
1.716044e+01	1.491923e+01	2.397751e+01	-9.410208
1.716050e+01	1.491922e+01	2.397746e+01	-9.410212
1.716056e+01	1.491921e+01	2.397740e+01	-9.410206
1.716061e+01	1.491920e+01	2.397735e+01	-9.410206
1.716067e+01	1.491918e+01	2.397729e+01	-9.410206
1.716073e+01	1.491916e+01	2.397725e+01	-9.410209
1.716078e+01	1.491915e+01	2.397719e+01	-9.410206
1.716084e+01	1.491915e+01	2.397714e+01	-9.410206
1.716090e+01	1.491914e+01	2.397709e+01	-9.410207
1.716095e+01	1.491913e+01	2.397703e+01	-9.410209
1.716101e+01	1.491911e+01	2.397698e+01	-9.410206
1.716107e+01	1.491908e+01	2.397692e+01	-9.410203
1.716113e+01	1.491908e+01	2.397687e+01	-9.410204
1.716118e+01	1.491906e+01	2.397681e+01	-9.410203
1.716124e+01	1.491905e+01	2.397676e+01	-9.410204
1.716130e+01	1.491905e+01	2.397670e+01	-9.410202
1.716135e+01	1.491904e+01	2.397664e+01	-9.410203
1.716141e+01	1.491901e+01	2.397660e+01	-9.410204
1.716147e+01	1.491901e+01	2.397655e+01	-9.410202
1.716153e+01	1.491900e+01	2.397648e+01	-9.410200
1.716158e+01	1.491900e+01	2.397645e+01	-9.410204
1.716164e+01	1.491898e+01	2.397638e+01	-9.410201
1.716170e+01	1.491895e+01	2.397634e+01	-9.410201
1.716175e+01	1.491895e+01	2.397628e+01	-9.410198
1.716181e+01	1.491894e+01	2.397623e+01	-9.410205
1.716187e+01	1.491893e+01	2.397617e+01	-9.410197
1.716192e+01	1.491891e+01	2.397612e+01	-9.410201
1.716198e+01	1.491890e+01	2.397606e+01	-9.410199
1.716204e+01	1.491888e+01	2.397601e+01	-9.410199
1.716210e+01	1.491889e+01	2.397597e+01	-9.410198
1.716215e+01	1.491887e+01	2.397591e+01	-9.410197
1.716221e+01	1.491885e+01	2.397587e+01	-9.410198
1.716227e+01	1.491884e+01	2.397581e+01	-9.410201
1.716232e+01	1.491884e+01	2.397575e+01	-9.410198
1.716238e+01	1.491880e+01	2.397571e+01	-9.410198
1.716244e+01	1.491880e+01	2.397565e+01	-9.410196
1.716250e+01	1.491879e+01	2.397561e+01	-9.410195
1.716255e+01	1.491877e+01	2.397554e+01	-9.410198
1.716261e+01	1.491877e+01	2.397548e+01	-9.410198
1.716267e+01	1.491876e+01	2.397543e+01	-9.410200
1.716272e+01	1.491874e+01	2.397538e+01	-9.410197
1.716278e+01	1.491873e+01	2.397535e+01	-9.410198
1.716284e+01	1.491870e+01	2.397527e+01	-9.410196
1.716289e+01	1.491870e+01	2.397522e+01	-9.410192
1.716295e+01	1.491868e+01	2.397516e+01	-9.410193
1.716301e+01	1.491868e+01	2.397511e+01	-9.410192
1.716307e+01	1.491868e+01	2.397508e+01	-9.410198
1.716312e+01	1.491865e+01	2.397499e+01	-9.410192
1.716318e+01	1.491864e+01	2.397496e+01	-9.410196
1.716324e+01	1.491863e+01	2.397489e+01	-9.410192
1.716329e+01	1.491863e+01	2.397487e+01	-9.410199
1.716335e+01	1.491861e+01	2.397480e+01	-9.410196
1.716341e+01	1.491860e+01	2.397476e+01	-9.410194
1.716347e+01	1.491858e+01	2.397471e+01	-9.410196
1.716352e+01	1.491858e+01	2.397465e+01	-9.410194
1.716358e+01	1.491856e+01	2.397458e+01	-9.410192
1.716364e+01	1.491855e+01	2.397452e+01	-9.410193
1.716369e+01	1.491855e+01	2.397450e+01	-9.410189
1.716375e+01	1.491853e+01	2.397442e+01	-9.410190
1.716381e+01	1.491851e+01	2.397437e+01	-9.410194
1.716386e+01	1.491849e+01	2.397431e+01	-9.410189
1.716392e+01	1.491849e+01	2.397427e+01	-9.410192
1.716398e+01	1.491848e+01	2.397421e+01	-9.410192
1.716404e+01	1.491845e+01	2.397416e+01	-9.410191
1.716409e+01	1.491844e+01	2.397410e+01	-9.410191
1.716415e+01	1.491843e+01	2.397405e+01	-9.410189
1.716421e+01	1.491843e+01	2.397401e+01	-9.410190
1.716426e+01	1.491842e+01	2.397394e+01	-9.410189
1.716432e+01	1.491840e+01	2.397389e+01	-9.410191
1.716438e+01	1.491839e+01	2.397384e+01	-9.410191
1.716444e+01	1.491838e+01	2.397379e+01	-9.410191
1.716449e+01	1.491836e+01	2.397374e+01	-9.410190
1.716455e+01	1.491835e+01	2.397367e+01	-9.410190
1.716461e+01	1.491833e+01	2.397364e+01	-9.410190
1.716466e+01	1.491832e+01	2.397357e+01	-9.410189
1.716472e+01	1.491831e+01	2.397350e+01	-9.410189
1.716478e+01	1.491830e+01	2.397346e+01	-9.410187
1.716483e+01	1.491829e+01	2.397342e+01	-9.410188
1.716489e+01	1.491828e+01	2.397336e+01	-9.410188
1.716495e+01	1.491826e+01	2.397330e+01	-9.410185
1.716501e+01	1.491825e+01	2.397325e+01	-9.410185
1.716506e+01	1.491824e+01	2.397320e+01	-9.410185
1.716512e+01	1.491822e+01	2.397313e+01	-9.410185
1.716518e+01	1.491822e+01	2.397309e+01	-9.410185
1.716523e+01	1.491819e+01	2.397305e+01	-9.410183
1.716529e+01	1.491818e+01	2.397298e+01	-9.410183
1.716535e+01	1.491818e+01	2.397295e+01	-9.410183
1.716541e+01	1.491815e+01	2.397288e+01	-9.410185
1.716546e+01	1.491816e+01	2.397284e+01	-9.410185
1.716552e+01	1.491814e+01	2.397278e+01	-9.410186
1.716558e+01	1.491813e+01	2.397273e+01	-9.410188
1.716563e+01	1.491812e+01	2.397267e+01	-9.410183
1.716569e+01	1.491812e+01	2.397262e+01	-9.410183
1.716575e+01	1.491809e+01	2.397257e+01	-9.410183
1.716580e+01	1.491807e+01	2.397251e+01	-9.410181
1.716586e+01	1.491807e+01	2.397247e+01	-9.410181
1.716592e+01	1.491805e+01	2.397241e+01	-9.410181
1.716598e+01	1.491805e+01	2.397234e+01	-9.410179
1.716603e+01	1.491802e+01	2.397230e+01	-9.410179
1.716609e+01	1.491803e+01	2.397224e+01	-9.410180
1.716615e+01	1.491801e+01	2.397218e+01	-9.410181
1.716620e+01	1.491800e+01	2.397215e+01	-9.410179
1.716626e+01	1.491799e+01	2.397208e+01	-9.410181
1.716632e+01	1.491797e+01	2.397204e+01	-9.410178
1.716638e+01	1.491797e+01	2.397198e+01	-9.410181
1.716643e+01	1.491795e+01	2.397194e+01	-9.410183
1.716649e+01	1.491793e+01	2.397189e+01	-9.410179
1.716655e+01	1.491792e+01	2.397181e+01	-9.410179
1.716660e+01	1.491790e+01	2.397176e+01	-9.410179
1.716666e+01	1.491789e+01	2.397172e+01	-9.410177
1.716672e+01	1.491788e+01	2.397167e+01	-9.410177
1.716677e+01	1.491789e+01	2.397161e+01	-9.410181
1.716683e+01	1.491785e+01	2.397157e+01	-9.410176
1.716689e+01	1.491784e+01	2.397151e+01	-9.410176
1.716695e+01	1.491784e+01	2.397147e+01	-9.410175
1.716700e+01	1.491783e+01	2.397141e+01	-9.410177
1.716706e+01	1.491781e+01	2.397134e+01	-9.410178
1.716712e+01	1.491781e+01	2.397129e+01	-9.410175
1.716717e+01	1.491780e+01	2.397123e+01	-9.410175
1.716723e+01	1.491778e+01	2.397118e+01	-9.410174
1.716729e+01	1.491777e+01	2.397114e+01	-9.410176
1.716735e+01	1.491774e+01	2.397108e+01	-9.410172
1.716740e+01	1.491775e+01	2.397103e+01	-9.410174
1.716746e+01	1.491774e+01	2.397097e+01	-9.410173
1.716752e+01	1.491772e+01	2.397092e+01	-9.410174
1.716757e+01	1.491772e+01	2.397085e+01	-9.410173
1.716763e+01	1.491770e+01	2.397081e+01	-9.410174
1.716769e+01	1.491769e+01	2.397076e+01	-9.410172
1.716774e+01	1.491766e+01	2.397070e+01	-9.410171
1.716780e+01	1.491765e+01	2.397066e+01	-9.410172
1.716786e+01	1.491764e+01	2.397061e+01	-9.410171
1.716792e+01	1.491763e+01	2.397053e+01	-9.410172
1.716797e+01	1.491761e+01	2.397050e+01	-9.410172
1.716803e+01	1.491760e+01	2.397046e+01	-9.410172
1.716809e+01	1.491760e+01	2.397041e+01	-9.410170
1.716814e+01	1.491757e+01	2.397033e+01	-9.410167
1.716820e+01	1.491756e+01	2.397028e+01	-9.410172
1.716826e+01	1.491757e+01	2.397022e+01	-9.410172
1.716832e+01	1.491754e+01	2.397020e+01	-9.410170
1.716837e+01	1.491752e+01	2.397012e+01	-9.410170
1.716843e+01	1.491753e+01	2.397007e+01	-9.410171
1.716849e+01	1.491750e+01	2.397002e+01	-9.410167
1.716854e+01	1.491750e+01	2.396996e+01	-9.410168
1.716860e+01	1.491749e+01	2.396991e+01	-9.410168
1.716866e+01	1.491747e+01	2.396987e+01	-9.410168
1.716871e+01	1.491747e+01	2.396980e+01	-9.410166
1.716877e+01	1.491746e+01	2.396977e+01	-9.410167
1.716883e+01	1.491742e+01	2.396971e+01	-9.410168
1.716889e+01	1.491742e+01	2.396964e+01	-9.410169
1.716894e+01	1.491741e+01	2.396959e+01	-9.410165
1.716900e+01	1.491739e+01	2.396955e+01	-9.410166
1.716906e+01	1.491738e+01	2.396947e+01	-9.410169
1.716911e+01	1.491739e+01	2.396943e+01	-9.410166
1.716917e+01	1.491736e+01	2.396938e+01	-9.410166
1.716923e+01	1.491734e+01	2.396934e+01	-9.410164
1.716929e+01	1.491734e+01	2.396926e+01	-9.410164
1.716934e+01	1.491733e+01	2.396923e+01	-9.410166
1.716940e+01	1.491731e+01	2.396917e+01	-9.410165
1.716946e+01	1.491730e+01	2.396912e+01	-9.410165
1.716951e+01	1.491729e+01	2.396908e+01	-9.410163
1.716957e+01	1.491728e+01	2.396900e+01	-9.410160
1.716963e+01	1.491726e+01	2.396896e+01	-9.410162
1.716968e+01	1.491725e+01	2.396890e+01	-9.410165
1.716974e+01	1.491723e+01	2.396886e+01	-9.410162
1.716980e+01	1.491723e+01	2.396880e+01	-9.410161
1.716986e+01	1.491722e+01	2.396876e+01	-9.410163
1.716991e+01	1.491719e+01	2.396869e+01	-9.410162
1.716997e+01	1.491718e+01	2.396864e+01	-9.410162
1.717003e+01	1.491718e+01	2.396859e+01	-9.410160
1.717008e+01	1.491717e+01	2.396853e+01	-9.410158
1.717014e+01	1.491715e+01	2.396847e+01	-9.410158
1.717020e+01	1.491715e+01	2.396844e+01	-9.410160
1.717026e+01	1.491713e+01	2.396836e+01	-9.410159
1.717031e+01	1.491712e+01	2.396833e+01	-9.410158
1.717037e+01	1.491710e+01	2.396827e+01	-9.410158
1.717043e+01	1.491708e+01	2.396822e+01	-9.410162
1.717048e+01	1.491707e+01	2.396815e+01	-9.410152
1.717054e+01	1.491707e+01	2.396811e+01	-9.410159
1.717060e+01	1.491705e+01	2.396807e+01	-9.410154
1.717065e+01	1.491704e+01	2.396801e+01	-9.410154
1.717071e+01	1.491703e+01	2.396797e+01	-9.410158
1.717077e+01	1.491702e+01	2.396792e+01	-9.410156
1.717083e+01	1.491701e+01	2.396784e+01	-9.410156
1.717088e+01	1.491699e+01	2.396779e+01	-9.410155
1.717094e+01	1.491699e+01	2.396773e+01	-9.410154
1.717100e+01	1.491697e+01	2.396768e+01	-9.410155
1.717105e+01	1.491695e+01	2.396763e+01	-9.410154
1.717111e+01	1.491693e+01	2.396758e+01	-9.410153
1.717117e+01	1.491693e+01	2.396752e+01	-9.410154
1.717123e+01	1.491692e+01	2.396745e+01	-9.410155
1.717128e+01	1.491691e+01	2.396741e+01	-9.410152
1.717134e+01	1.491689e+01	2.396737e+01	-9.410154
1.717140e+01	1.491688e+01	2.396731e+01	-9.410154
1.717145e+01	1.491687e+01	2.396726e+01	-9.410154
1.717151e+01	1.491686e+01	2.396721e+01	-9.410152
1.717157e+01	1.491686e+01	2.396716e+01	-9.410154
1.717162e+01	1.491683e+01	2.396711e+01	-9.410151
1.717168e+01	1.491683e+01	2.396703e+01	-9.410153
1.717174e+01	1.491682e+01	2.396700e+01	-9.410150
1.717180e+01	1.491680e+01	2.396694e+01	-9.410151
1.717185e+01	1.491677e+01	2.396689e+01	-9.410152
1.717191e+01	1.491676e+01	2.396685e+01	-9.410156
1.717197e+01	1.491676e+01	2.396682e+01	-9.410153
1.717202e+01	1.491677e+01	2.396673e+01	-9.410152
1.717208e+01	1.491674e+01	2.396669e+01	-9.410153
1.717214e+01	1.491672e+01	2.396663e+01	-9.410149
1.717220e+01	1.491671e+01	2.396658e+01	-9.410153
1.717225e+01	1.491670e+01	2.396652e+01	-9.410149
1.717231e+01	1.491668e+01	2.396647e+01	-9.410149
1.717237e+01	1.491668e+01	2.396641e+01	-9.410148
1.717242e+01	1.491667e+01	2.396637e+01	-9.410151
1.717248e+01	1.491664e+01	2.396629e+01	-9.410146
1.717254e+01	1.491664e+01	2.396625e+01	-9.410151
1.717259e+01	1.491662e+01	2.396621e+01	-9.410150
1.717265e+01	1.491663e+01	2.396616e+01	-9.410146
1.717271e+01	1.491660e+01	2.396609e+01	-9.410147
