beta1	beta2	beta3	dist	lmax
1.671100875695665e+01	1.501811924663164e+01	2.443463180664857e+01	7.469744385320664	-9.404409366915928
1.670885104829997e+01	1.501860846986158e+01	2.443702304901871e+01	7.472041691876270	-9.404339361688580
1.670668204747130e+01	1.501909769309153e+01	2.443942928167197e+01	7.474354887825200	-9.404269059030739
1.670452059906080e+01	1.501958691632148e+01	2.444182797966058e+01	7.476661004805416	-9.404197971338313
1.670238454507591e+01	1.502007613955142e+01	2.444419997470410e+01	7.478940313620432	-9.404126358692487
1.670020212186759e+01	1.502056536278137e+01	2.444663126907691e+01	7.481280548578617	-9.404056050509602
1.669803363192103e+01	1.502105458601132e+01	2.444904581403347e+01	7.483604418583849	-9.403984285692594
1.669586446415176e+01	1.502154380924126e+01	2.445145871181787e+01	7.485927511961802	-9.403910701676566
1.669371649884745e+01	1.502203303247121e+01	2.445385643720934e+01	7.488235046787566	-9.403838784446656
1.669154920039542e+01	1.502252225570116e+01	2.445627384232270e+01	7.490563654322172	-9.403765148723746
1.668940603788081e+01	1.502301147893110e+01	2.445866906258095e+01	7.492869793972971	-9.403692029959359
1.668723859937820e+01	1.502350070216105e+01	2.446109038002864e+01	7.495203533379147	-9.403617445341837
1.668509752433513e+01	1.502398992539100e+01	2.446348468571685e+01	7.497510023145077	-9.403542665033211
1.668291469720065e+01	1.502447914862094e+01	2.446592862691662e+01	7.499867988108317	-9.403467590246578
1.668077373863775e+01	1.502496837185089e+01	2.446832888713837e+01	7.502181501282777	-9.403392610740985
1.667862811923992e+01	1.502545759508084e+01	2.447073546819387e+01	7.504502119651616	-9.403316903525180
1.667647863669923e+01	1.502594681831078e+01	2.447314783599474e+01	7.506829267301175	-9.403240579193451
1.667429588196685e+01	1.502643604154073e+01	2.447560187166890e+01	7.509199616006430	-9.403164399683551
1.667213145069536e+01	1.502692526477068e+01	2.447803348122523e+01	7.511547766056857	-9.403086633118539
1.666998485001169e+01	1.502741448800062e+01	2.448045159377593e+01	7.513882185492005	-9.403009943965873
1.666783451588439e+01	1.502790371123057e+01	2.448287319079963e+01	7.516220949329025	-9.402931946282219
1.666568506434774e+01	1.502839293446051e+01	2.448529890311135e+01	7.518564217948664	-9.402854495487905
1.666352697244961e+01	1.502888215769046e+01	2.448772961651514e+01	7.520913734235106	-9.402774438984238
1.666136941074297e+01	1.502937138092041e+01	2.449016675697219e+01	7.523269976856755	-9.402695520912840
1.665922938690327e+01	1.502986060415035e+01	2.449258727740427e+01	7.525609533819138	-9.402616629712616
1.665707058513445e+01	1.503034982738030e+01	2.449502791181448e+01	7.527970596106532	-9.402536218068414
1.665493452994703e+01	1.503083905061025e+01	2.449744731697327e+01	7.530310104349549	-9.402456280978011
1.665277520058265e+01	1.503132827384019e+01	2.449989228183017e+01	7.532676706657774	-9.402374892385268
1.665064566990053e+01	1.503181749707014e+01	2.450230328921271e+01	7.535009027356464	-9.402292557095384
1.664847968677933e+01	1.503230672030009e+01	2.450476711299848e+01	7.537395494571116	-9.402212523668126
1.664633230803805e+01	1.503279594353003e+01	2.450720249178192e+01	7.539753966068004	-9.402129234265622
1.664417661749445e+01	1.503328516675998e+01	2.450965411431096e+01	7.542129296293801	-9.402046945437846
1.664203414479905e+01	1.503377438998993e+01	2.451209087576334e+01	7.544489981259558	-9.401963723948446
1.663989491348791e+01	1.503426361321987e+01	2.451452989722892e+01	7.546853173477665	-9.401881317071691
1.663775228074641e+01	1.503475283644982e+01	2.451696841035793e+01	7.549216905480173	-9.401796452027497
1.663562906225756e+01	1.503524205967977e+01	2.451938954485195e+01	7.551562980967357	-9.401712149139961
1.663345821431900e+01	1.503573128290971e+01	2.452187162384152e+01	7.553972059689722	-9.401628485500515
1.663131843152013e+01	1.503622050613966e+01	2.452431447091302e+01	7.556341669865493	-9.401542799310935
1.662917642304081e+01	1.503670972936960e+01	2.452676567591677e+01	7.558720087906993	-9.401457838022919
1.662703873869541e+01	1.503719895259955e+01	2.452920973368498e+01	7.561092002250144	-9.401371157164878
1.662488704137986e+01	1.503768817582950e+01	2.453167455294914e+01	7.563485628796244	-9.401284759872492
1.662274305314820e+01	1.503817739905944e+01	2.453412995412211e+01	7.565870267387988	-9.401197166525819
1.662061891712511e+01	1.503866662228939e+01	2.453656864772897e+01	7.568237799666213	-9.401110553470478
1.661846588153727e+01	1.503915584551934e+01	2.453904230942621e+01	7.570641978958763	-9.401023185462794
1.661631316844094e+01	1.503964506874928e+01	2.454151394645821e+01	7.573044899469952	-9.400934223940478
1.661418612670770e+01	1.504013429197923e+01	2.454396121420848e+01	7.575422866734737	-9.400846009418609
1.661204046787356e+01	1.504062351520918e+01	2.454643209821239e+01	7.577825727862292	-9.400757238936951
1.660990250982099e+01	1.504111273843912e+01	2.454889520260539e+01	7.580221131830842	-9.400667800138423
1.660777226536851e+01	1.504160196166907e+01	2.455135295220425e+01	7.582611363737643	-9.400578457400263
1.660562458089164e+01	1.504209118489902e+01	2.455382848152508e+01	7.585020864994046	-9.400487154736023
1.660350216162333e+01	1.504258040812896e+01	2.455628123129883e+01	7.587406917437218	-9.400396997302302
1.660136694679273e+01	1.504306963135891e+01	2.455875130760962e+01	7.589811338510398	-9.400306433390760
1.659921812871085e+01	1.504355885458886e+01	2.456123464237463e+01	7.592230373411629	-9.400213893887559
1.659708791203071e+01	1.504404807781880e+01	2.456369852377194e+01	7.594629770894612	-9.400121106832671
1.659495606461108e+01	1.504453730104875e+01	2.456617316831370e+01	7.597040188517290	-9.400029966270285
1.659282818609673e+01	1.504502652427870e+01	2.456864118959186e+01	7.599444600479415	-9.399937175608919
1.659068605900319e+01	1.504551574750864e+01	2.457112757085642e+01	7.601868527947543	-9.399843721629548
1.658856364766387e+01	1.504600497073859e+01	2.457359300746586e+01	7.604271265080742	-9.399750008029574
1.658644975721904e+01	1.504649419396853e+01	2.457604739115213e+01	7.606663320662015	-9.399654976422710
1.658429383584314e+01	1.504698341719848e+01	2.457855999475706e+01	7.609115509316358	-9.399561263699248
1.658217494018616e+01	1.504747264042843e+01	2.458102747834006e+01	7.611521811329514	-9.399466272497829
1.658006572565835e+01	1.504796186365837e+01	2.458348377122793e+01	7.613917168954165	-9.399370363228584
1.657790771064927e+01	1.504845108688832e+01	2.458600311121090e+01	7.616377970872957	-9.399274689186750
1.657577474827621e+01	1.504894031011827e+01	2.458849535758801e+01	7.618811174612640	-9.399178879163014
1.657365575109408e+01	1.504942953334821e+01	2.459097099597861e+01	7.621227853201779	-9.399082076041038
1.657151233908904e+01	1.504991875657816e+01	2.459347513198028e+01	7.623674743627644	-9.398983887186056
1.656940419053881e+01	1.505040797980811e+01	2.459594573694389e+01	7.626086829117246	-9.398887422233901
1.656728181993509e+01	1.505089720303805e+01	2.459843021335035e+01	7.628514206930084	-9.398788868296952
1.656513456324301e+01	1.505138642626800e+01	2.460094846588305e+01	7.630976862275743	-9.398690323516458
1.656300395561578e+01	1.505187564949795e+01	2.460344504022044e+01	7.633417893146986	-9.398590253608351
1.656089599412298e+01	1.505236487272789e+01	2.460592474196985e+01	7.635841189961450	-9.398492368769315
1.655876639271679e+01	1.505285409595784e+01	2.460842683003750e+01	7.638288647788442	-9.398392205481834
1.655665537366322e+01	1.505334331918779e+01	2.461090969635467e+01	7.640716572642744	-9.398292021424879
1.655451959999581e+01	1.505383254241773e+01	2.461342551363150e+01	7.643179005564162	-9.398191588399829
1.655240034716401e+01	1.505432176564768e+01	2.461592206085064e+01	7.645622075263383	-9.398090362506306
1.655028928023695e+01	1.505481098887762e+01	2.461841218512085e+01	7.648058831140490	-9.397989163376749
1.654817085082368e+01	1.505530021210757e+01	2.462091132947309e+01	7.650505572955413	-9.397886895546407
1.654603925377596e+01	1.505578943533752e+01	2.462343088227022e+01	7.652973717893860	-9.397784835412811
1.654392580675073e+01	1.505627865856746e+01	2.462592921072731e+01	7.655420449668801	-9.397682030607838
1.654180007482364e+01	1.505676788179741e+01	2.462844606027616e+01	7.657886705096939	-9.397579180538337
1.653967447232482e+01	1.505725710502736e+01	2.463095882098217e+01	7.660349729838470	-9.397474064646225
1.653754204352268e+01	1.505774632825730e+01	2.463348712335530e+01	7.662828870120710	-9.397370016159853
1.653543639477698e+01	1.505823555148725e+01	2.463598918269395e+01	7.665280874543186	-9.397266961926757
1.653330829817586e+01	1.505872477471720e+01	2.463851192634769e+01	7.667755579730716	-9.397160695358668
1.653120043642561e+01	1.505921399794714e+01	2.464101970588120e+01	7.670214533079388	-9.397056402042161
1.652907539359152e+01	1.505970322117709e+01	2.464354362259629e+01	7.672691310332904	-9.396949475713500
1.652695516981461e+01	1.506019244440704e+01	2.464606556320122e+01	7.675166331609403	-9.396842670475440
1.652484946538740e+01	1.506068166763698e+01	2.464857702871238e+01	7.677630466116093	-9.396737091180633
1.652273169685072e+01	1.506117089086693e+01	2.465110058265809e+01	7.680108031057143	-9.396629550588013
1.652062453673562e+01	1.506166011409688e+01	2.465361472628008e+01	7.682576144873730	-9.396522086363079
1.651850216294556e+01	1.506214933732682e+01	2.465614836629723e+01	7.685065062109778	-9.396413697286782
1.651640898422788e+01	1.506263856055677e+01	2.465865200077276e+01	7.687522936214497	-9.396306189856276
1.651428659024606e+01	1.506312778378672e+01	2.466119094618869e+01	7.690018163626241	-9.396197232908747
1.651219851933691e+01	1.506361700701666e+01	2.466368602599282e+01	7.692468629159525	-9.396086961053259
1.651006984050098e+01	1.506410623024661e+01	2.466624070556788e+01	7.694980746732645	-9.395978198386224
1.650795970119082e+01	1.506459545347655e+01	2.466876885119436e+01	7.697466286191852	-9.395867388758232
1.650586158625635e+01	1.506508467670650e+01	2.467128618578299e+01	7.699940860465097	-9.395756804257507
1.650374572347841e+01	1.506557389993645e+01	2.467382729818547e+01	7.702440600795772	-9.395645570576498
1.650162343327516e+01	1.506606312316639e+01	2.467637887976639e+01	7.704951627266510	-9.395533957851477
1.649953088080852e+01	1.506655234639634e+01	2.467889559016357e+01	7.707426875521335	-9.395422079798728
1.649741322504402e+01	1.506704156962629e+01	2.468144679088120e+01	7.709938286668953	-9.395309944200601
1.649529427019228e+01	1.506753079285623e+01	2.468400093089572e+01	7.712453269162575	-9.395197109877046
1.649319672929076e+01	1.506802001608618e+01	2.468652575585300e+01	7.714938665320926	-9.395082562883289
1.649110326636306e+01	1.506850923931613e+01	2.468905699187922e+01	7.717430290848569	-9.394970398067860
1.648897932789404e+01	1.506899846254607e+01	2.469162183636567e+01	7.719957889168970	-9.394855626986853
