1.811967e+01 1.669774e+01 2.027015e+01 
1.927271e+01 1.558903e+01 2.147067e+01 
1.890190e+01 1.526570e+01 2.234128e+01 
1.871824e+01 1.473161e+01 2.316652e+01 
1.695516e+01 1.488875e+01 2.409756e+01 
1.703256e+01 1.486748e+01 2.400174e+01 
1.706256e+01 1.490031e+01 2.402458e+01 
1.708618e+01 1.492666e+01 2.404324e+01 
1.708913e+01 1.492995e+01 2.404557e+01 
1.710245e+01 1.492941e+01 2.403065e+01 
1.710241e+01 1.493037e+01 2.403040e+01 
1.710300e+01 1.493103e+01 2.403087e+01 
1.710329e+01 1.493136e+01 2.403110e+01 
1.710326e+01 1.493135e+01 2.403115e+01 
